sample,xxxfasta,species,ori_species,taxid,fasta
SRR9842281,test_ass/SRR9842281.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9842281.fasta
SRR18435807,test_ass/SRR18435807.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR18435807.fasta
SRR17656565,test_ass/SRR17656565.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR17656565.fasta
SRR7886585,test_ass/SRR7886585.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR7886585.fasta
SRR13228381,test_ass/SRR13228381.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13228381.fasta
SRR12286738,test_ass/SRR12286738.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR12286738.fasta
SRR10771615,test_ass/SRR10771615.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR10771615.fasta
SRR8942534,test_ass/SRR8942534.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8942534.fasta
SRR9647463,test_ass/SRR9647463.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR9647463.fasta
SRR8198780,test_ass/SRR8198780.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR8198780.fasta
SRR14328777,test_ass/SRR14328777.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR14328777.fasta
SRR15098149,test_ass/SRR15098149.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR15098149.fasta
SRR18299193,test_ass/SRR18299193.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR18299193.fasta
SRR13396684,test_ass/SRR13396684.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13396684.fasta
SRR13498622,test_ass/SRR13498622.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR13498622.fasta
SRR16492510,test_ass/SRR16492510.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR16492510.fasta
SRR10414507,test_ass/SRR10414507.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR10414507.fasta
SRR11301186,test_ass/SRR11301186.fasta,Pseudomonas_aeruginosa,pseudomonas_aeruginosa,287,/well/aanensen/projects/amr-landscape/assemblies/pseudomonas_aeruginosa/production/fasta_passed_qc/SRR11301186.fasta
