run_accession,country,collection_date
ERR7361961,GBR,2018-01-01
ERR7361984,GBR,2018-01-01
SRR6046095,GBR,2016-03-31
SRR6045846,GBR,2016-03-31
ERR7361972,GBR,2018-01-01
SRR3675499,GBR,2015-01-01
SRR18213743,GBR,2011-01-01
ERR7361909,GBR,2018-01-01
ERR7361957,GBR,2018-01-01
ERR7362018,GBR,2018-01-01
SRR6046433,GBR,2016-03-31
ERR9117748,GBR,2016-01-01
SRR6046260,GBR,2016-03-31
ERR1413476,GBR,2004-01-08
SRR18213732,GBR,2017-01-01
ERR1413484,GBR,2007-03-15
ERR1413482,GBR,2005-03-29
SRR6046652,GBR,2016-03-31
SRR6046149,GBR,2016-03-31
ERR7361977,GBR,2018-01-01
ERR7361965,GBR,2018-01-01
ERR9117830,GBR,2017-01-01
SRR18213673,GBR,2010-01-01
SRR6045968,GBR,2016-03-31
ERR7361975,GBR,2018-01-01
ERR7361918,GBR,2018-01-01
ERR7361980,GBR,2018-01-01
ERR7361989,GBR,2018-01-01
SRR6046030,GBR,2016-03-31
ERR7361988,GBR,2018-01-01
SRR6045073,GBR,2016-03-31
SRR6045465,GBR,2016-03-31
ERR8025354,GBR,2018-01-01
ERR1413481,GBR,2005-02-22
SRR6046410,GBR,2016-03-31
SRR18213799,GBR,2012-01-01
ERR7361978,GBR,2018-01-01
SRR6046792,GBR,2016-03-31
SRR18213850,GBR,2010-01-01
SRR18213748,GBR,2010-01-01
SRR6045128,GBR,2016-03-31
SRR6046426,GBR,2016-03-31
ERR9117736,GBR,2017-01-01
SRR6046494,GBR,2016-03-31
SRR18213815,GBR,2011-01-01
SRR18213934,GBR,2010-01-01
ERR072080,GBR,2011-01-01
SRR6045752,GBR,2016-03-31
SRR6045012,GBR,2016-03-31
SRR6046572,GBR,2016-03-31
ERR9117682,GBR,2017-01-01
SRR6046803,GBR,2016-03-31
ERR9117737,GBR,2017-01-01
ERR1413477,GBR,2004-04-02
SRR18213706,GBR,2012-01-01
ERR9117713,GBR,2017-01-01
SRR6046237,GBR,2016-03-31
SRR18213733,GBR,2011-01-01
SRR3675579,GBR,2015-01-01
ERR9117821,GBR,2017-01-01
SRR6045993,GBR,2016-03-31
ERR9117733,GBR,2017-01-01
ERR9117692,GBR,2017-01-01
ERR1413472,GBR,2003-01-15
SRR6046084,GBR,2016-03-31
ERR9117804,GBR,2017-01-01
SRR18213853,GBR,2009-01-01
SRR3675262,GBR,2015-01-01
ERR7361995,GBR,2018-01-01
SRR18213825,GBR,2011-01-01
SRR18213672,GBR,2010-01-01
SRR18213751,GBR,2011-01-01
SRR18213742,GBR,2010-01-01
SRR18213688,GBR,2017-01-01
SRR6045449,GBR,2016-03-31
ERR9117769,GBR,2016-01-01
ERR072065,GBR,2011-01-01
ERR9117720,GBR,2019-01-01
SRR6045814,GBR,2016-03-31
SRR6045093,GBR,2016-03-31
SRR6045391,GBR,2016-03-31
SRR18213895,GBR,2011-01-01
ERR072077,GBR,2011-01-01
SRR6046111,GBR,2016-03-31
SRR18213868,GBR,2010-01-01
ERR1413471,GBR,2002-07-07
ERR9117835,GBR,2019-01-01
ERR9117758,GBR,2016-01-01
SRR18213893,GBR,2011-01-01
ERR9117757,GBR,2019-01-01
SRR18213715,GBR,2010-01-01
ERR7362021,GBR,2018-01-01
SRR6045309,GBR,2016-03-31
SRR6045144,GBR,2016-03-31
SRR6046313,GBR,2016-03-31
SRR6045896,GBR,2016-03-31
ERR9030272,GBR,2017-01-01
SRR18213818,GBR,2010-01-01
SRR6046078,GBR,2016-03-31
ERR1413483,GBR,2005-06-02
SRR18213946,GBR,2010-01-01
SRR6045455,GBR,2016-03-31
ERR9117694,GBR,2016-01-01
SRR6045247,GBR,2016-03-31
SRR6046092,GBR,2016-03-31
SRR18213667,GBR,2010-01-01
SRR18213678,GBR,2011-01-01
SRR18213840,GBR,2010-01-01
SRR18213954,GBR,2010-01-01
SRR6046509,GBR,2016-03-31
SRR6045686,GBR,2016-03-31
ERR9117764,GBR,2017-01-01
ERR072072,GBR,2010-01-01
SRR6045753,GBR,2016-03-31
SRR6046458,GBR,2016-03-31
SRR6046415,GBR,2016-03-31
ERR9117832,GBR,2017-01-01
SRR6046518,GBR,2016-03-31
SRR6045245,GBR,2016-03-31
SRR18213888,GBR,2010-01-01
SRR6045947,GBR,2016-03-31
ERR7361976,GBR,2018-01-01
SRR18213778,GBR,2009-01-01
SRR6045958,GBR,2016-03-31
SRR6046162,GBR,2016-03-31
ERR9117685,GBR,2017-01-01
SRR6046762,GBR,2016-03-31
ERR7361915,GBR,2018-01-01
ERR9117807,GBR,2017-01-01
ERR9117762,GBR,2019-01-01
SRR18213830,GBR,2009-01-01
ERR9117717,GBR,2016-01-01
SRR18213739,GBR,2017-01-01
ERR9117707,GBR,2017-01-01
SRR6045824,GBR,2016-03-31
SRR18213835,GBR,2011-01-01
SRR18213759,GBR,2010-01-01
ERR7361997,GBR,2018-01-01
ERR7361983,GBR,2018-01-01
SRR18213892,GBR,2010-01-01
SRR6046576,GBR,2016-03-31
SRR6045284,GBR,2016-03-31
SRR1735615,GBR,2013-08-25
SRR6046578,GBR,2016-03-31
SRR18213886,GBR,2012-01-01
SRR6045177,GBR,2016-03-31
SRR6045587,GBR,2016-03-31
SRR18213960,GBR,2010-01-01
ERR9117833,GBR,2017-01-01
SRR18213898,GBR,2011-01-01
SRR18213928,GBR,2010-01-01
SRR6045333,GBR,2016-03-31
SRR6045453,GBR,2016-03-31
ERR9117745,GBR,2019-01-01
SRR6046895,GBR,2016-03-31
ERR1413480,GBR,2004-09-06
ERR1413479,GBR,2004-08-31
ERR7362012,GBR,2018-01-01
ERR7361962,GBR,2018-01-01
SRR5007166,GBR,2014-11-07
SRR18213908,GBR,2011-01-01
ERR9117754,GBR,2019-01-01
ERR9117679,GBR,2016-01-01
SRR6046799,GBR,2016-03-31
SRR18213920,GBR,2010-01-01
SRR18213876,GBR,2012-01-01
SRR6045951,GBR,2016-03-31
SRR6045304,GBR,2016-03-31
ERR7361922,GBR,2018-01-01
SRR6046097,GBR,2016-03-31
SRR6045298,GBR,2016-03-31
SRR6045563,GBR,2016-03-31
SRR6046837,GBR,2016-03-31
SRR6046550,GBR,2016-03-31
ERR9117811,GBR,2017-01-01
SRR6045819,GBR,2016-03-31
ERR9117820,GBR,2017-01-01
SRR6045211,GBR,2016-03-31
SRR18213904,GBR,2010-01-01
SRR6045470,GBR,2016-03-31
SRR6045146,GBR,2016-03-31
SRR18213890,GBR,2010-01-01
SRR6045787,GBR,2016-03-31
SRR6046551,GBR,2016-03-31
SRR6046618,GBR,2016-03-31
SRR18213708,GBR,2010-01-01
SRR6045552,GBR,2016-03-31
ERR9117778,GBR,2016-01-01
ERR8025355,GBR,2018-01-01
SRR6045169,GBR,2016-03-31
ERR7361993,GBR,2018-01-01
SRR6044852,GBR,2016-03-31
ERR7361986,GBR,2018-01-01
SRR6046075,GBR,2016-03-31
SRR18213860,GBR,2011-01-01
SRR6046222,GBR,2016-03-31
SRR3675543,GBR,2015-01-01
SRR6046057,GBR,2016-03-31
ERR9117773,GBR,2013-01-01
SRR18213927,GBR,2010-01-01
SRR6045237,GBR,2016-03-31
ERR7361971,GBR,2018-01-01
SRR6045085,GBR,2016-03-31
SRR6046763,GBR,2016-03-31
SRR6045542,GBR,2016-03-31
SRR6046042,GBR,2016-03-31
SRR6046706,GBR,2016-03-31
SRR18213820,GBR,2010-01-01
ERR9117816,GBR,2019-01-01
ERR9117693,GBR,2017-01-01
SRR6045209,GBR,2016-03-31
SRR6045108,GBR,2016-03-31
SRR18213873,GBR,2010-01-01
SRR6045189,GBR,2016-03-31
ERR7361911,GBR,2018-01-01
SRR6045123,GBR,2016-03-31
SRR6046791,GBR,2016-03-31
ERR9117836,GBR,2016-01-01
SRR18213827,GBR,2010-01-01
ERR9117691,GBR,2017-01-01
ERR9117672,GBR,2019-01-01
ERR7361991,GBR,2018-01-01
ERR9117715,GBR,2019-01-01
SRR6045240,GBR,2016-03-31
SRR6045292,GBR,2016-03-31
ERR025838,GBR,2007-01-01
SRR6045671,GBR,2016-03-31
SRR6046558,GBR,2016-03-31
SRR18213843,GBR,2011-01-01
ERR9117843,GBR,2017-01-01
ERR9117795,GBR,2017-01-01
SRR6044863,GBR,2016-03-31
ERR9117756,GBR,2016-01-01
ERR9117703,GBR,2017-01-01
SRR6046248,GBR,2016-03-31
SRR6046324,GBR,2016-03-31
SRR6046389,GBR,2016-03-31
SRR6045063,GBR,2016-03-31
SRR18213798,GBR,2012-01-01
SRR6045808,GBR,2016-03-31
SRR18213961,GBR,2010-01-01
SRR18213953,GBR,2011-01-01
SRR18213926,GBR,2010-01-01
SRR6045685,GBR,2016-03-31
SRR6046516,GBR,2016-03-31
SRR6045586,GBR,2016-03-31
SRR6045314,GBR,2016-03-31
SRR6045186,GBR,2016-03-31
ERR7361992,GBR,2018-01-01
SRR6046306,GBR,2016-03-31
SRR18213722,GBR,2012-01-01
SRR6046680,GBR,2016-03-31
SRR3675439,GBR,2015-01-01
SRR18213847,GBR,2012-01-01
SRR6044832,GBR,2016-03-31
SRR6046825,GBR,2016-03-31
SRR18213874,GBR,2010-01-01
SRR6045579,GBR,2016-03-31
SRR18213864,GBR,2010-01-01
SRR6044959,GBR,2016-03-31
SRR6045966,GBR,2016-03-31
ERR7361966,GBR,2018-01-01
SRR6044837,GBR,2016-03-31
ERR7361912,GBR,2018-01-01
SRR18213935,GBR,2011-01-01
