Name,ST,url,MLST_Profile,GSPC,Serotype
ERR023321,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023322,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023323,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023326,11745,https://pubmlst.org/spneumoniae/,10.464.4.1.7.19.9,2,01
ERR023329,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023330,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023331,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023337,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023338,11745,https://pubmlst.org/spneumoniae/,10.464.4.1.7.19.9,2,01
ERR023340,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023343,11745,https://pubmlst.org/spneumoniae/,10.464.4.1.7.19.9,2,01
ERR023345,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023347,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023348,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023349,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023352,11745,https://pubmlst.org/spneumoniae/,10.464.4.1.7.19.9,2,01
ERR023354,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023357,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023358,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023389,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023393,303,https://pubmlst.org/spneumoniae/,10.5.4.1.7.19.9,2,01
ERR023568,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023569,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023570,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023571,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023572,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023573,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023574,612,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.31,2,01
ERR023575,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023576,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023578,612,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.31,2,01
ERR023579,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023582,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023583,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023584,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023585,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023586,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023587,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023589,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023590,217,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.9,2,01
ERR023591,612,https://pubmlst.org/spneumoniae/,10.18.4.1.7.19.31,2,01
