accession_id,METHICILLIN,VANCOMYCIN
SRR12078934,none,none
SRR13968480,none,none
ERR1143393,none,none
SRR5226505,none,none
ERR237653,mecA,none
ERR5052498,mecA,none
SRR3731890,none,none
SRR3731661,none,none
SRR14923788,none,none
ERR1195987,mecA,none
ERR237643,mecA,none
SRR16542385,mecA,none
SRR14866208,mecA,none
SRR5415445,mecA,none
SRR5250327,none,none
SRR3418791,mecA,none
ERR134620,mecA,none
SRR12972256,none,none
SRR13967101,none,none
SRR5202204,mecA,none
ERR4656773,none,none
ERR2232629,mecA,none
ERR4017527,none,none
ERR3623788,mecA,none
ERR053025,mecA,none
ERR4014827,none,none
SRR12560301,mecA,none
ERR2506384,mecA,none
ERR4845726,none,none
ERR107852,mecA,none
SRR12952318,none,none
ERR158759,mecA,none
ERR4911794,none,none
ERR5052559,mecA,none
ERR2929422,none,none
ERR2506503,mecA,none
SRR13298007,none,none
SRR13967690,none,none
SRR15460503,mecA,none
ERR2533572,mecA,none
SRR17071329,none,none
SRR13803348,mecA,none
ERR5055835,none,none
SRR3419105,mecA,none
ERR352960,mecA,none
SRR12079150,none,none
SRR3729238,none,none
ERR2506350,mecA,none
SRR5250294,none,none
SRR9026214,none,none
SRR5244819,mecA,none
SRR11612758,mecA,none
ERR1040871,mecA,none
SRR14673362,mecA,none
SRR1301155,mecA,none
SRR13968583,none,none
SRR3730637,none,none
ERR2137263,none,none
ERR505380,mecA,none
ERR1700053,none,none
ERR1041102,mecA,none
SRR14016870,none,none
SRR3729093,none,none
SRR5909186,mecA,none
SRR8389019,none,none
SRR17118726,mecA,none
SRR11526830,mecA,none
SRR1178222,mecA,none
SRR13967270,mecA,none
ERR1040944,mecA,none
SRR13968191,none,none
ERR118571,mecA,none
SRR5250566,none,none
SRR12649569,mecA,none
SRR3731516,none,none
SRR13803472,mecA,none
SRR5815605,none,none
SRR2107115,mecA,none
SRR7839952,mecA,none
ERR3991219,mecA,none
SRR13966882,none,none
ERR594247,mecA,none
ERR353129,mecA,none
ERR8098137,mecA,none
