Name,ST,url,MLST_Profile,ST2,url2,MLST_Profile2
DRR035531,4d901590536da814ed181a422da90481b94b9fbf,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.189|3.2.2.106.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035532,4d901590536da814ed181a422da90481b94b9fbf,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.189|3.2.2.106.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035533,805,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.1.13.12.4.203.2,575,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,1.3.2.1.4.4.92
DRR035534,4d901590536da814ed181a422da90481b94b9fbf,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.189|3.2.2.106.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035535,497,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,21.3.3.2.35.97.4,215,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,27.2.7.2.2.1.2
DRR035536,4d901590536da814ed181a422da90481b94b9fbf,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.189|3.2.2.106.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035537,e8ef86341900736a9afb3e0aaed7411e75345228,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.3.2.2.c8a88bd6b27967693c35b1dd352829f296854852.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035538,4d901590536da814ed181a422da90481b94b9fbf,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.189|3.2.2.106.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035539,4d901590536da814ed181a422da90481b94b9fbf,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.15.189|3.2.2.106.3,570,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.4
DRR035540,bb9ea76feffe13c9b012ead4e969990415c496de,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_oxford_seqdef,1.3.189|3.2.2.97.3,2,https://pubmlst.org/bigsdb?db=pubmlst_abaumannii_pasteur_seqdef,2.2.2.2.2.2.2
