Name,ST,url,MLST_Profile
DRR033844,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033845,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033846,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033847,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033848,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033849,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033850,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033851,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033852,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033853,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033855,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033856,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033857,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033858,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033859,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033860,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033861,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033862,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033864,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033865,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR033867,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
DRR165912,ee322565a3a20700cfc8f4c79e704f28b057945f,https://pubmlst.org/efaecium/,7.0cbcaa09fc35775a1f2297448d0e44da7430944b.1.1.5.1.1
DRR165913,ee322565a3a20700cfc8f4c79e704f28b057945f,https://pubmlst.org/efaecium/,7.0cbcaa09fc35775a1f2297448d0e44da7430944b.1.1.5.1.1
DRR194272,78,https://pubmlst.org/efaecium/,15.1.1.1.1.1.1
