,Name,ST,MLST_Profile,lineage
0,ERR7361961,279,140.15.20.19.20.18.22.19,4.3.3
1,ERR7361984,279,140.15.20.19.20.18.22.19,4.3.3
2,SRR6046095,215,17.15.20.19.20.18.22.19,4.1.2.1
3,SRR6045846,e0a2534421f1f54327a734d8bd180f6f257c9b13,17.15.20.19.20.e558f7744a30c589d41f13890ec069ea96f486ba.22.19,4.4.1.1
4,ERR7361972,215,17.15.20.19.20.18.22.19,2.2.1
5,SRR3675499,215,17.15.20.19.20.18.22.19,4.1.1.2
6,SRR18213743,279,140.15.20.19.20.18.22.19,4.3.3
7,ERR7361909,215,17.15.20.19.20.18.22.19,4.1.2
8,ERR7361957,279,140.15.20.19.20.18.22.19,4.3.3
9,ERR7362018,292,17.183.20.19.144.18.22.19,2.2.9
10,SRR6046433,215,17.15.20.19.20.18.22.19,3
11,ERR9117748,215,17.15.20.19.20.18.22.19,3
12,SRR6046260,215,17.15.20.19.20.18.22.19,4.3.1
13,ERR1413476,215,17.15.20.19.20.18.22.19,4.6.2.2
14,SRR18213732,215,17.15.20.19.20.18.22.19,3
15,ERR1413484,215,17.15.20.19.20.18.22.19,4.6.2.2
16,ERR1413482,215,17.15.20.19.20.18.22.19,4.6.1.2
17,SRR6046652,215,17.15.20.19.20.18.22.19,3
18,SRR6046149,215,17.15.20.19.20.18.22.19,4.6.2.2
19,ERR7361977,279,140.15.20.19.20.18.22.19,4.3.3
20,ERR7361965,215,17.15.20.19.20.18.22.19,4.3.4.2.1
21,ERR9117830,336,17.15.20.19.20.18.22.184,3.1.2.2
22,SRR18213673,215,17.15.20.19.20.18.22.19,4.1.2.1
23,SRR6045968,215,17.15.20.19.20.18.22.19,3.1.1
24,ERR7361975,279,140.15.20.19.20.18.22.19,4.3.3
25,ERR7361918,215,17.15.20.19.20.18.22.19,4.1.2.1
26,ERR7361980,215,17.15.20.19.20.18.22.19,2.2.1
27,ERR7361989,279,140.15.20.19.20.18.22.19,4.3.3
28,SRR6046030,215,17.15.20.19.20.18.22.19,3.1.1
29,ERR7361988,279,140.15.20.19.20.18.22.19,4.3.3
30,SRR6045073,215,17.15.20.19.20.18.22.19,4.10
31,SRR6045465,215,17.15.20.19.20.18.22.19,4.4
32,ERR8025354,215,17.15.20.19.20.18.22.19,4.1.2.1
33,ERR1413481,215,17.15.20.19.20.18.22.19,4.6.2.2
34,SRR6046410,215,17.15.20.19.20.18.22.19,4.1.1.1
35,SRR18213799,336,17.15.20.19.20.18.22.184,3.1.2.2
36,ERR7361978,279,140.15.20.19.20.18.22.19,4.3.3
37,SRR6046792,215,17.15.20.19.20.18.22.19,4.10
38,SRR18213850,215,17.15.20.19.20.18.22.19,3
39,SRR18213748,215,17.15.20.19.20.18.22.19,3
40,SRR6045128,894,17.15.20.427.20.18.22.19,4.5
41,SRR6046426,215,17.15.20.19.20.18.22.19,4.10
42,ERR9117736,215,17.15.20.19.20.18.22.19,4.10
43,SRR6046494,215,17.15.20.19.20.18.22.19,2.2
44,SRR18213815,215,17.15.20.19.20.18.22.19,3.1.2
45,SRR18213934,215,17.15.20.19.20.18.22.19,4.1.1
46,ERR072080,215,17.15.20.19.20.18.22.19,3.1.1
47,SRR6045752,215,17.15.20.19.20.18.22.19,4.1.2.1
48,SRR6045012,323087d1ff0312b1e98e0507b3099b4825b456f5,17.9e1611f67837b7e3d3b3bdfeb169e89b5aff42a6.20.19.20.18.22.19,4.1.2.1
49,SRR6046572,215,17.15.20.19.20.18.22.19,4.1.2.1
50,ERR9117682,215,17.15.20.19.20.18.22.19,3
51,SRR6046803,215,17.15.20.19.20.18.22.19,3
52,ERR9117737,215,17.15.20.19.20.18.22.19,4.1
53,ERR1413477,215,17.15.20.19.20.18.22.19,4.6.1.2
54,SRR18213706,215,17.15.20.19.20.18.22.19,4.2.2
55,ERR9117713,215,17.15.20.19.20.18.22.19,4.10
56,SRR6046237,a57358aa94ce12a0da4ba4bf5d5549ce37d55979,140.15.20.89340aa6f2ceca02f513ea2a4ca19aa342453794.20.18.22.19,4.3.3
57,SRR18213733,277,17.15.20.19.20.18.22.176,4.1.1.3
