accession_id,FLUOROQUINOLONE
DRR106820,none
DRR106821,gyrA_S83F
DRR106822,none
DRR106825,none
DRR106828,none
DRR106831,none
DRR106832,none
DRR106833,none
DRR106834,none
DRR106835,none
DRR106836,none
DRR106837,none
DRR106839,gyrA_S83Y
DRR106841,none
DRR106844,none
DRR106848,none
DRR106849,none
DRR106853,gyrA_S83F
DRR106854,none
DRR106857,none
DRR106862,none
DRR106865,none
DRR106868,none
DRR106871,none
DRR106894,none
DRR106897,none
DRR106899,none
DRR106901,none
DRR106906,none
DRR106908,none
DRR106910,none
DRR106912,gyrA_S83F
DRR106915,gyrA_D87N
DRR106916,gyrA_S83Y
DRR106918,none
DRR106920,none
DRR106923,none
DRR106925,none
DRR106929,none
DRR106931,none
DRR106934,none
DRR106938,none
DRR106940,none
DRR106943,none
DRR106945,none
DRR106947,none
DRR106949,none
DRR106951,none
DRR106955,none
DRR106958,none
DRR106961,none
DRR106963,none
DRR106966,none
DRR106969,none
DRR106971,none
DRR106973,none
DRR106976,none
DRR107066,none
DRR107067,none
DRR107073,gyrA_D87N
DRR107075,none
ERR023783,none
ERR023784,none
ERR023795,none
ERR023796,none
ERR023803,none
ERR1540272,none
ERR1540273,none
ERR1540274,none
ERR1540275,none
ERR1540276,none
ERR1540277,none
ERR1540278,none
ERR1540279,none
ERR1540280,none
ERR1540281,none
ERR1540282,none
ERR1540283,none
ERR1540284,none
ERR1540285,none
ERR1540286,none
ERR1540287,none
ERR1540288,none
ERR1540289,none
ERR1540290,none
ERR1540291,none
ERR1540292,none
ERR1540293,none
ERR1540294,none
ERR1540295,none
ERR1540296,none
ERR1540297,none
ERR1540298,none
ERR1540299,none
ERR1540300,none
ERR1540301,none
ERR1540302,none
ERR1540303,none
ERR1540304,qnrS1
ERR1540305,none
ERR1540306,none
ERR1540307,none
ERR1540308,none
ERR1540309,none
ERR1540310,none
ERR1540311,none
ERR1540312,none
ERR1540313,gyrA_D87N
ERR1540314,none
ERR1540315,none
ERR1540316,none
ERR1540317,none
ERR1540318,none
ERR1540319,none
ERR1540320,none
ERR1540321,none
ERR1540322,none
ERR1540323,none
ERR1540324,qnrS1
ERR1540325,none
ERR1540326,none
ERR1540327,none
ERR1540328,none
ERR1540329,none
ERR1540330,none
ERR1540332,gyrA_D87N
ERR1540333,none
ERR1540334,none
ERR1540335,none
ERR1540336,none
ERR1540337,gyrA_D87Y
ERR1540338,none
ERR1540339,none
ERR1540340,none
ERR1540341,none
ERR1540342,none
ERR1540343,none
ERR1540344,none
ERR1540345,none
ERR1540346,none
ERR1540347,none
ERR1540348,none
ERR1540349,none
ERR1540350,none
ERR1540351,none
ERR1540352,none
ERR1540353,none
ERR1540354,none
ERR1540355,none
ERR1540356,none
ERR1540357,none
ERR1540358,none
ERR1540359,none
ERR1540360,none
ERR1540361,none
ERR1540362,none
ERR1540363,none
ERR1540364,none
ERR1540365,none
ERR1540366,none
ERR1540367,none
ERR1540368,none
ERR1540369,none
ERR1540370,none
ERR1540371,none
ERR1540372,none
ERR1540373,none
ERR1540374,none
ERR1540375,none
ERR1540376,none
ERR1540377,none
ERR1540378,none
ERR1540379,none
ERR1540380,none
ERR1540381,none
ERR1540382,none
ERR1540383,none
ERR1540384,none
ERR1540385,none
ERR1540386,none
ERR1540387,none
ERR1540388,none
ERR1540389,none
ERR1540390,none
ERR1540391,none
ERR1540392,none
ERR1540393,none
ERR1540394,none
ERR1540395,none
ERR1540396,none
ERR1540397,none
ERR1540398,none
ERR1540399,none
ERR1540400,none
ERR1540401,none
ERR1540402,none
ERR1540403,none
ERR1540404,none
ERR1540405,none
ERR1540406,none
ERR1540407,none
ERR1540408,none
ERR1540409,gyrA_D87N
ERR1540410,none
ERR1540411,none
ERR1540412,none
ERR1540413,none
ERR1540414,none
ERR1540415,none
ERR1540416,none
ERR1540417,none
ERR1540418,none
ERR1540419,none
ERR1540420,none
ERR1540421,none
ERR1540422,none
ERR1540423,none
ERR1540424,none
ERR1540425,none
ERR1540426,none
ERR1540427,none
ERR1540428,none
ERR1540429,none
ERR1540430,gyrA_D87N
ERR1540431,none
ERR1540432,none
ERR1540433,none
ERR1540434,none
ERR1540435,none
ERR1540436,none
ERR1540437,none
ERR1540438,none
ERR1540439,none
ERR1540440,qnrS1
ERR1540441,none
ERR1540442,none
ERR1540443,none
ERR1540444,none
ERR1540445,none
ERR1540446,none
ERR1540447,none
ERR1540448,none
ERR1540449,none
ERR1540450,none
ERR1540451,none
ERR1540452,none
ERR1540453,none
ERR1540454,none
ERR1540455,none
ERR1540456,none
ERR1540457,none
ERR1540458,none
ERR1540459,gyrA_D87N
ERR1540460,none
ERR1540461,none
ERR1540462,none
ERR1540463,gyrA_D87Y
ERR1540464,none
ERR1540465,none
ERR1540466,gyrA_D87N
ERR1540467,none
ERR1540468,none
ERR1540469,none
ERR1540470,none
ERR1540471,none
ERR1540472,none
ERR1540473,none
ERR1540474,none
ERR1540476,none
ERR1540477,none
ERR1540478,none
ERR1540479,none
ERR1540480,none
ERR1540481,none
ERR1540482,none
ERR1540483,none
ERR1540484,none
ERR1540485,none
ERR1540486,none
ERR1540487,none
ERR1540488,none
ERR1540489,none
ERR1540490,none
ERR1540491,none
ERR1540492,none
ERR1540493,none
ERR1540494,none
ERR1540495,none
ERR1540496,none
ERR1540497,none
ERR1540498,none
ERR1540499,none
ERR1540500,none
ERR1540501,none
ERR1540502,none
ERR1540503,qnrS1
ERR1540504,none
ERR1540505,none
ERR1540506,none
ERR1540507,none
ERR1540508,none
ERR1540509,none
ERR1540510,none
ERR1540511,none
ERR1540512,none
ERR1540513,none
ERR1540514,none
ERR1540515,none
ERR1540516,none
ERR1540517,none
ERR1540518,none
ERR1540519,none
ERR1540520,none
ERR1540521,none
ERR1540522,none
ERR1540523,none
ERR1540524,gyrA_D87Y
ERR1540525,none
ERR1540526,none
ERR1540527,none
ERR1540528,none
ERR1540529,none
ERR1540530,none
ERR1540531,none
ERR1540532,none
ERR1540533,none
ERR1540534,none
ERR1540535,none
ERR1540536,gyrA_S83Y
ERR1540537,none
ERR1540538,none
ERR1540539,none
ERR1540540,none
ERR1540542,none
ERR1540543,none
ERR1540544,none
ERR1540545,none
ERR1540546,none
