experiment_accession,run_accession,accession,sample_accession,secondary_sample_accession,instrument_platform,instrument_model,library_name,library_layout,nominal_length,library_strategy,library_source,library_selection,read_count,base_count,center_name,fastq_bytes,cell_line,cell_type,collected_by,collection_date,country,description,environmental_sample,first_public,germline,identified_by,isolation_source,location,serotype,serovar,sex,submitted_sex,sub_species,tissue_type,tax_id,scientific_name,sample_alias,center_name_1,sampling_campaign,sampling_site,sampling_platform,protocol_label,project_name,host,host_tax_id,host_status,host_sex,submitted_host_sex,host_body_site,host_gravidity,investigation_type,experimental_factor,sample_collection,sequencing_method,sample_title,sample_material,taxonomic_identity_marker,completeness_score,contamination_score,binning_software,lat,lon,sample_capture_status,collection_date_submitted,submission_tool
SRX3653229,SRR6676789,SAMN07610210,SAMN07610210,SRS2917537,ILLUMINA,Illumina MiSeq,UM_CRE_26,PAIRED,,WGS,GENOMIC,RANDOM,170853.0,102649071.0,SUB3593246,33363384;40900451,,,University of Michigan Health System,2015-03-01,USA: Michigan,Illumina MiSeq sequencing; UM_CRE_26 patient 23,False,2018-02-07,False,,respiratory,,,,,,,,550,Enterobacter cloacae,UM_CRE_26,SUB3593246,,,,,,Homo sapiens,9606.0,,,,,,,,,,missing,,,,,,,,,Mar-2015,
SRX761801,SRR1655335,SAMN03197103,SAMN03197103,SRS746311,ILLUMINA,Illumina HiSeq 2000,1147_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,576268.0,104591664.0,University of Washington,47490142;46819967,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 1147_ECLO,False,2015-07-08,False,,,,,,,,,,158836,Enterobacter hormaechei,1147_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter hormaechei,,,,,,,,,,
SRX762567,SRR1656101,SAMN03197869,SAMN03197869,SRS747077,ILLUMINA,Illumina HiSeq 2000,665_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,565973.0,105604825.0,University of Washington,45442193;44804885,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 665_ECLO,False,2015-07-08,False,,,,,,,,steigerwaltii,,299766,Enterobacter hormaechei subsp. steigerwaltii,665_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter hormaechei subsp. steigerwaltii,,,,,,,,,,
SRX10273170,SRR13893432,SAMN18206988,SAMN18206988,SRS8406443,ILLUMINA,Illumina HiSeq 2000,ENCL_149_ill,PAIRED,,WGS,GENOMIC,RANDOM,355813.0,106237759.0,SUB8768147,36597161;36722248,,,Johns Hopkins Hospital,2017-01-01,USA:Baltimore,Illumina HiSeq 2000 sequencing; illumina sequencing of e cloacae: clinical isolate,False,2021-03-12,False,,patient,39.29 N 76.59 W,,,,,,,550,Enterobacter cloacae,ENCL_149,SUB8768147,,,,,,Homo sapiens,9606.0,,,,,,,,,,ENCL_149,,,,,,39.29,-76.59,,2017,
SRX762468,SRR1656002,SAMN03197770,SAMN03197770,SRS746978,ILLUMINA,Illumina HiSeq 2000,569_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,571286.0,106553780.0,University of Washington,47724817;47469186,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 569_ECLO,False,2015-07-08,False,,,,,,,,steigerwaltii,,299766,Enterobacter hormaechei subsp. steigerwaltii,569_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter hormaechei subsp. steigerwaltii,,,,,,,,,,
ERX5400753,ERR5685290,SAMEA8515119,SAMEA8515119,ERS6199918,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,392982.0,107833847.0,CARDIFF UNIVERSITY,39742531;47797637,,,,2016-05-01,Bangladesh,Illumina MiSeq paired end sequencing,False,2021-05-31,False,,rectal swab,,,,,,,,158836,Enterobacter hormaechei,BK-MR763-1,CARDIFF UNIVERSITY,,,,,,human,9606.0,healthy,,,,,,,,,"Maternal and neonatal rectal carriage of beta-lactamases from low- and middle-income countries: prevalence, risk factors and genomes (part of the BARNARDS study).",,,,,,,,,2015-17,
SRX762001,SRR1655535,SAMN03197303,SAMN03197303,SRS746512,ILLUMINA,Illumina HiSeq 2000,1323_ECLO,PAIRED,,WGS,GENOMIC,RANDOM,604551.0,109334354.0,University of Washington,46450770;44596542,,,UW clinical laboratory,,USA: WA,Illumina HiSeq 2000 sequencing; Whole genome seq of Enterobacter cloacae clinical isolate: Sample 1323_ECLO,False,2015-07-08,False,,,,,,,,,,208224,Enterobacter kobei,1323_ECLO,University of Washington,,,,,,Homo sapiens,9606.0,,,,,,,,,,This sample has been submitted by pda|stevesal on 2015-07-08; Enterobacter kobei,,,,,,,,,,
ERX4785094,ERR4920185,SAMEA7472623,SAMEA7472623,ERS5230318,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,385964.0,109616629.0,CARDIFF UNIVERSITY,35543436;41114089,,,research nurses,2016-05-01,Pakistan,Illumina MiSeq paired end sequencing,False,2020-12-07,False,,,33.0 N 73.0 E,,,,,,,550,Enterobacter cloacae,PP-BB2655-I,CARDIFF UNIVERSITY,,,,,,human,9606.0,diseased,,,,,,,,,Gram-negative bacteria causing neonatal sepsis in LMIC,,,,,,33.0,73.0,,2015-17,
ERX4785087,ERR4920178,SAMEA7472566,SAMEA7472566,ERS5230261,ILLUMINA,Illumina MiSeq,unspecified,PAIRED,250.0,WGS,GENOMIC,size fractionation,388808.0,109709753.0,CARDIFF UNIVERSITY,32727466;42058199,,,research nurses,2016-05-01,Pakistan,Illumina MiSeq paired end sequencing,False,2020-12-07,False,,,33.0 N 73.0 E,,,,,,,158836,Enterobacter hormaechei,PP-BB1653-I,CARDIFF UNIVERSITY,,,,,,human,9606.0,diseased,,,,,,,,,Gram-negative bacteria causing neonatal sepsis in LMIC,,,,,,33.0,73.0,,2015-17,
ERX5207472,ERR5422781,SAMEA8158470,SAMEA8158470,ERS5845238,ILLUMINA,Illumina NovaSeq 6000,AI3038_2,PAIRED,327.0,WGS,GENOMIC,RANDOM,728510.0,110005010.0,cnag-crg,27849726;29428737,,,,2018-01-01,Spain,Illumina NovaSeq 6000 paired end sequencing,False,2021-10-14,False,,Hospital Universitario Central de Asturias (Oviedo),,,,,,,,550,Enterobacter cloacae,AI3038,cnag-crg,,,,,,Homo sapiens,9606.0,diseased,,,,,,,,,AI3038 DNA,,,,,,,,,2018,
