Name,ST,url,MLST_Profile,organismName
DRR061400,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061401,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061402,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061403,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061404,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061408,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061409,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061410,f4103f7c6830b534a07630443fea1f5aad135a56,https://pubmlst.org/ecloacae/,53.35.20.9a956a33e9d5b048857191f7122dc0caef6bebd6.45.4.6,Enterobacter hormaechei
DRR061413,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061417,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061419,9fb612c64dfa12f9ac97f9a8b992b3c6655b942a,https://pubmlst.org/ecloacae/,146.fa04290af0e33564545af2d7cfc221695cec6670.148.44.99.4.6,Enterobacter hormaechei
DRR061420,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR061426,24,https://pubmlst.org/ecloacae/,23.15.23.16.28.11.11,Enterobacter asburiae
DRR061428,114,https://pubmlst.org/ecloacae/,53.35.20.44.45.4.6,Enterobacter hormaechei
DRR065594,78,https://pubmlst.org/ecloacae/,8.9.6.9.9.6.8,Enterobacter hormaechei
DRR065612,78,https://pubmlst.org/ecloacae/,8.9.6.9.9.6.8,Enterobacter hormaechei
DRR065616,105,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.6,Enterobacter hormaechei
DRR065617,105,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.6,Enterobacter hormaechei
DRR082841,78,https://pubmlst.org/ecloacae/,8.9.6.9.9.6.8,Enterobacter hormaechei
DRR082842,78,https://pubmlst.org/ecloacae/,8.9.6.9.9.6.8,Enterobacter hormaechei
DRR101012,90,https://pubmlst.org/ecloacae/,58.37.4.6.42.4.25,Enterobacter hormaechei
DRR101013,90,https://pubmlst.org/ecloacae/,58.37.4.6.42.4.25,Enterobacter hormaechei
DRR101015,910,https://pubmlst.org/ecloacae/,43.3.66.314.3.16.168,Enterobacter kobei
DRR101016,929,https://pubmlst.org/ecloacae/,279.25.96.334.273.14.93,Enterobacter roggenkampii
DRR101020,929,https://pubmlst.org/ecloacae/,279.25.96.334.273.14.93,Enterobacter roggenkampii
DRR101021,929,https://pubmlst.org/ecloacae/,279.25.96.334.273.14.93,Enterobacter roggenkampii
DRR111569,121,https://pubmlst.org/ecloacae/,10.21.9.44.45.4.32,Enterobacter hormaechei
DRR111570,231,https://pubmlst.org/ecloacae/,46.20.20.96.45.29.54,Enterobacter hormaechei
DRR111572,418,https://pubmlst.org/ecloacae/,53.35.154.44.45.4.6,Enterobacter hormaechei
DRR111573,200,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.32,Enterobacter hormaechei
DRR111590,516d44f37578777e30decea282b9d33e7c8c5ee8,https://pubmlst.org/ecloacae/,90.20.74.44..4.6,Enterobacter hormaechei
DRR111595,182,https://pubmlst.org/ecloacae/,49.20.19.44.90.24.32,Enterobacter hormaechei
DRR111609,200,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.32,Enterobacter hormaechei
DRR122202,93,https://pubmlst.org/ecloacae/,9.4.14.61.37.4.9,Enterobacter hormaechei
DRR122204,78,https://pubmlst.org/ecloacae/,8.9.6.9.9.6.8,Enterobacter hormaechei
DRR122205,418,https://pubmlst.org/ecloacae/,53.35.154.44.45.4.6,Enterobacter hormaechei
DRR122206,45,https://pubmlst.org/ecloacae/,4.4.14.6.39.4.6,Enterobacter hormaechei
DRR122207,93,https://pubmlst.org/ecloacae/,9.4.14.61.37.4.9,Enterobacter hormaechei
DRR122208,93,https://pubmlst.org/ecloacae/,9.4.14.61.37.4.9,Enterobacter hormaechei
DRR122209,818,https://pubmlst.org/ecloacae/,256.167.4.125.11.30.25,Enterobacter hormaechei
DRR122478,a655ab960f5646bc0b3556c3fb029d363834edb5,https://pubmlst.org/ecloacae/,60.8b597294ac8b4657e4277cacf4309e938035b674.65.481.8389965f89f8961826bf1858b73f664fd0a106b8.22.252,Enterobacter cloacae
DRR122499,93,https://pubmlst.org/ecloacae/,9.4.14.61.37.4.9,Enterobacter hormaechei
DRR124983,171,https://pubmlst.org/ecloacae/,49.21.19.44.45.12.32,Enterobacter hormaechei
DRR124990,78,https://pubmlst.org/ecloacae/,8.9.6.9.9.6.8,Enterobacter hormaechei
DRR124995,418,https://pubmlst.org/ecloacae/,53.35.154.44.45.4.6,Enterobacter hormaechei
DRR124996,171,https://pubmlst.org/ecloacae/,49.21.19.44.45.12.32,Enterobacter hormaechei
DRR125000,418,https://pubmlst.org/ecloacae/,53.35.154.44.45.4.6,Enterobacter hormaechei
DRR125003,171,https://pubmlst.org/ecloacae/,49.21.19.44.45.12.32,Enterobacter hormaechei
DRR125024,171,https://pubmlst.org/ecloacae/,49.21.19.44.45.12.32,Enterobacter hormaechei
DRR125029,177,https://pubmlst.org/ecloacae/,9.4.14.61.89.4.9,Enterobacter hormaechei
DRR125034,171,https://pubmlst.org/ecloacae/,49.21.19.44.45.12.32,Enterobacter hormaechei
DRR125036,171,https://pubmlst.org/ecloacae/,49.21.19.44.45.12.32,Enterobacter hormaechei
DRR126716,250,https://pubmlst.org/ecloacae/,84.62.95.98.94.43.52,Enterobacter asburiae
DRR140901,200,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.32,Enterobacter hormaechei
DRR140920,200,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.32,Enterobacter hormaechei
DRR140924,200,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.32,Enterobacter hormaechei
DRR150291,200,https://pubmlst.org/ecloacae/,74.20.20.65.45.4.32,Enterobacter hormaechei
DRR150352,525,https://pubmlst.org/ecloacae/,169.44.189.186.36.1.1,Enterobacter cloacae
DRR150359,93,https://pubmlst.org/ecloacae/,9.4.14.61.37.4.9,Enterobacter hormaechei
DRR150360,93,https://pubmlst.org/ecloacae/,9.4.14.61.37.4.9,Enterobacter hormaechei
DRR150372,f1837f86bd78eac49f66f3f8a62c78c410b51998,https://pubmlst.org/ecloacae/,ab0a53eceeddd4b990332f4439f7cbd9180d54b5.27.219.283.49.12.20,Enterobacter roggenkampii
DRR150428,113,https://pubmlst.org/ecloacae/,4.22.68.69.37.4.24,Enterobacter hormaechei
DRR150466,145,https://pubmlst.org/ecloacae/,59.40.82.9.67.6.6,Enterobacter hormaechei
DRR174803,657,https://pubmlst.org/ecloacae/,243.14.259.148.132.11.15,Enterobacter asburiae
DRR174805,9d20b9bc66d60d76b5a6a691274c5a437a0a08a9,https://pubmlst.org/ecloacae/,65a967f6ce70af3cf37341947b2863ced998e9f4.14.5d9a049e87906652b4ab32262d363e61c43d1ee2.108.35806f26c4b6f550553090dedcf5dcf88b5fcbb0.11.89,Enterobacter asburiae
DRR174807,282a21f8f232e27d70fb0680a210bd28876dbebc,https://pubmlst.org/ecloacae/,86679695a72ad5b5489931b912844a23cae6383f.c230fc7a224291083588359a20ca1c4f9c31e138.3a46df8e650a105ea1a7cf12ea7cad83d5461807.bf23ad780d90af7da4bf12e144cdfc0bb34d64a0.332.e1a0efd4ae240a5322478ded6ddf5a5ff0823bd4.218,Enterobacter cloacae
DRR175048,1134,https://pubmlst.org/ecloacae/,324.25.92.206.312.99.26,Enterobacter roggenkampii
DRR175052,1137,https://pubmlst.org/ecloacae/,266.44.61.86.36.148.1,Enterobacter cloacae
DRR175053,1134,https://pubmlst.org/ecloacae/,324.25.92.206.312.99.26,Enterobacter roggenkampii
DRR178362,125,https://pubmlst.org/ecloacae/,63.3.66.68.3.16.3,Enterobacter kobei
DRR178364,1672,https://pubmlst.org/ecloacae/,192.51.61.168.1.22.1,Enterobacter cloacae
DRR178365,466,https://pubmlst.org/ecloacae/,120.25.127.90.49.12.20,Enterobacter roggenkampii
DRR178367,bf1abc2fbcf459e6a6bf9d6713e9508bd80266ae,https://pubmlst.org/ecloacae/,13.2.7e6ec35b26463ef09cb05f44ba000e9912c500a1.25.52.2.73,Enterobacter ludwigii
DRR178372,133,https://pubmlst.org/ecloacae/,11.4.4.13.39.4.9,Enterobacter hormaechei
DRR178392,c398ec3bedd46017c56302ee690a849936850ac3,https://pubmlst.org/ecloacae/,65.25.49.126.312.99.20,Enterobacter roggenkampii
DRR178394,7d458a030c27c44f6a6aaf81ec30cf2326ad40af,https://pubmlst.org/ecloacae/,457.217.45.560.51.2.14,Enterobacter ludwigii
DRR178401,742,https://pubmlst.org/ecloacae/,66.4.4.171.187.4.25,Enterobacter hormaechei
DRR178403,162,https://pubmlst.org/ecloacae/,79.15.39.15.86.11.46,Enterobacter asburiae
DRR178409,133,https://pubmlst.org/ecloacae/,11.4.4.13.39.4.9,Enterobacter hormaechei
DRR178413,56,https://pubmlst.org/ecloacae/,42.3.52.37.23.16.3,Enterobacter kobei
DRR178414,9ba7d0436b6c15618bb2166afd5f54b08a4375c7,https://pubmlst.org/ecloacae/,26.320abdad334c07893cde03b8238d8e278123db41.143.191.61.11.89,Enterobacter asburiae
DRR178415,e2955d9601edbd7d41e813d68a23d6cfab427daa,https://pubmlst.org/ecloacae/,35.25.92.339.49.12.26,Enterobacter roggenkampii
DRR178418,b00271585a5073819ce603d0aca3c23a5bb3cf36,https://pubmlst.org/ecloacae/,0415b95ce949ae6f03c0b331886d1b1141d69432.811ee3a5368ee0575fddd71594946bb18ff443cf.8036037da4e1eb7a941350c0283d2c0ee6804ade.fe7d07a55f8fa2872ead3e2b7aa46a1a0c64cac7.f414793b36b814f237cf5a4ee0406825ce1c8c17.103.bb283349972cd55463b0629ce541feb1018855b4,Enterobacter cancerogenus
DRR178420,fcb0a028c5e8eddd1776ff25d465e01236a8d554,https://pubmlst.org/ecloacae/,d2186febf53ad7e8d2e0570e93109f681af03a7c.29.bb20f53d56c505ea942fd3b3fcfe8a5880a89a8d.e0218d12a664542a59907ef1ab898b37ee8400db..11.18,Enterobacter asburiae
DRR178422,ad720b056d69a02ec6ab323b8b80116c3617d038,https://pubmlst.org/ecloacae/,43.060001673d7303034331b9507235ab43db6552d5.191.c235729ac2e4aadd70df5905db8e17dca2312449.77.00a967927c1aa9f7132977dd71c7786370070582.19,Enterobacter kobei
